Frame,Left,Right,SlotScore,ExtractedOccurrences,DistinctFillers,MeanFillerLength,LengthEntropy,TopFiller,TopFillerCount,DominantInitial,DominantInitialShare,DominantFinal,DominantFinalShare,FinalEntropy,InitialEntropy
002|740,002,740,0.957,345,247,2.2667,0.8679,048,11,240,0.1159,760,0.1014,0.8688,0.8511
060|<END>,060,<END>,0.949,193,176,2.9845,0.9035,690-740,5,741,0.1969,740,0.4041,0.6967,0.8399
<START>|390,<START>,390,0.9409,236,163,2.411,0.9186,590,14,861,0.0847,590,0.2754,0.737,0.8779
002|<END>,002,<END>,0.9374,705,508,2.766,0.9263,240-520,29,240,0.1149,740,0.3816,0.6294,0.8255
741|<END>,741,<END>,0.9357,198,163,3.0051,0.9314,001-055-220-740-090,11,176,0.0758,740,0.3687,0.7002,0.8912
060|740,060,740,0.9276,101,85,2.2475,0.8179,690,5,741,0.1584,690,0.0792,0.9443,0.8926
001|<END>,001,<END>,0.9257,177,131,2.5424,0.9275,055-220-740-090,11,055,0.0734,740,0.2147,0.84,0.9315
820|<END>,820,<END>,0.9239,170,147,3.0412,0.9912,002,10,002,0.4882,740,0.2941,0.7745,0.5899
820|740,820,740,0.9229,74,72,3.0676,0.9435,002,3,002,0.5811,100,0.1081,0.9427,0.5732
235|<END>,235,<END>,0.9221,206,128,2.8301,0.8937,240-740-090,13,240,0.2039,740,0.4612,0.6242,0.8101
<START>|001,<START>,001,0.9181,184,136,2.3315,0.9108,820,15,820,0.1141,740,0.1141,0.8562,0.8987
233|<END>,233,<END>,0.9172,174,105,2.3966,0.8913,520,20,520,0.1379,740,0.4483,0.6079,0.8736
<START>|520,<START>,520,0.9171,277,171,2.9206,0.9602,501-405-002-240,29,501,0.1047,220,0.2347,0.7429,0.8626
817|<END>,817,<END>,0.9164,184,133,3.0815,0.9608,002,13,002,0.7446,740,0.3587,0.7255,0.3766
<START>|240,<START>,240,0.9149,244,124,2.5451,0.8776,501-405-002,29,501,0.1189,002,0.3402,0.6949,0.8281
861|<END>,861,<END>,0.9141,183,137,2.9727,0.9695,002,20,002,0.776,740,0.3005,0.7503,0.3679
<START>|233,<START>,233,0.9121,140,100,2.4357,0.9395,235,9,817,0.1071,240,0.1643,0.7894,0.8662
031|<END>,031,<END>,0.9116,198,149,2.1364,0.8652,156,11,002,0.0657,740,0.197,0.8285,0.9094
<START>|741,<START>,741,0.9111,189,114,1.7354,0.6332,920-060,38,920,0.2063,060,0.2011,0.8432,0.8547
032|740,032,740,0.9103,101,71,2.396,0.9374,877,7,220,0.3564,760,0.1089,0.9131,0.7611
